cg08169020,chr14:68790171-68790172 - 2bp, 1CpGs: 20366646-20366647
cg15650509,chr2:236567966-236567967 - 2bp, 1CpGs: 4464751-4464752
cg15473346,chr1:165829183-165829184 - 2bp, 1CpGs: 1628316-1628317
cg06121450,chr1:165829145-165829146 - 2bp, 1CpGs: 1628314-1628315
cg14612335,chr3:170356343-170356344 - 2bp, 1CpGs: 5966356-5966357
cg00349895,chr4:153152349-153152350 - 2bp, 1CpGs: 7437061-7437062
cg01022974,chr4:153152328-153152329 - 2bp, 1CpGs: 7437059-7437060
cg16208357,chr17:42780502-42780503 - 2bp, 1CpGs: 23520459-23520460
cg24104567,chr17:42780490-42780491 - 2bp, 1CpGs: 23520457-23520458
cg02763536,chr17:42780497-42780498 - 2bp, 1CpGs: 23520458-23520459
cg03717364,chr2:42975341-42975342 - 2bp, 1CpGs: 2817368-2817369
cg04011671,chr2:42975334-42975335 - 2bp, 1CpGs: 2817367-2817368
cg02971575,chr4:145481388-145481389 - 2bp, 1CpGs: 7378927-7378928
cg07363543,chr1:224503573-224503574 - 2bp, 1CpGs: 2101935-2101936
cg15232539,chr8:19602161-19602162 - 2bp, 1CpGs: 12680209-12680210
cg21344746,chr10:79071473-79071474 - 2bp, 1CpGs: 15831113-15831114
cg25606201,chr5:181187858-181187859 - 2bp, 1CpGs: 9306136-9306137
cg26008365,chr1:153986321-153986322 - 2bp, 1CpGs: 1502547-1502548
cg10640944,chr5:102866186-102866187 - 2bp, 1CpGs: 8599291-8599292
cg16208357,chr17:42780502-42780503 - 2bp, 1CpGs: 23520459-23520460
cg24104567,chr17:42780490-42780491 - 2bp, 1CpGs: 23520457-23520458
cg02763536,chr17:42780497-42780498 - 2bp, 1CpGs: 23520458-23520459
cg08640252,chr16:1770948-1770949 - 2bp, 1CpGs: 21784856-21784857
cg18976418,chr14:39266292-39266293 - 2bp, 1CpGs: 20134319-20134320
cg25365958,chr13:42041855-42041856 - 2bp, 1CpGs: 19342162-19342163
cg16247817,chr1:153775210-153775211 - 2bp, 1CpGs: 1498844-1498845
cg24408896,chr1:153775182-153775183 - 2bp, 1CpGs: 1498842-1498843
cg10683341,chr4:39637669-39637670 - 2bp, 1CpGs: 6645186-6645187
cg23651614,chr4:39637707-39637708 - 2bp, 1CpGs: 6645189-6645190
cg10831212,chr11:57761947-57761948 - 2bp, 1CpGs: 16970274-16970275
cg19210276,chr11:57761993-57761994 - 2bp, 1CpGs: 16970275-16970276
cg08092930,chr11:70271608-70271609 - 2bp, 1CpGs: 17175886-17175887
cg15416179,chr17:21286547-21286548 - 2bp, 1CpGs: 23214309-23214310
cg18609578,chr2:200306083-200306084 - 2bp, 1CpGs: 4118522-4118523
cg03997390,chr2:200306067-200306068 - 2bp, 1CpGs: 4118520-4118521
cg12446199,chr1:167439604-167439605 - 2bp, 1CpGs: 1640771-1640772
cg22707529,chr6:143678578-143678579 - 2bp, 1CpGs: 10519764-10519765
cg20865323,chr6:143678529-143678530 - 2bp, 1CpGs: 10519763-10519764
cg27557428,chr1:201170750-201170751 - 2bp, 1CpGs: 1883677-1883678
cg12426092,chr15:31397367-31397368 - 2bp, 1CpGs: 20979905-20979906
cg13469590,chr9:19229769-19229770 - 2bp, 1CpGs: 13934275-13934276
cg13607248,chr3:184156768-184156769 - 2bp, 1CpGs: 6077875-6077876
cg05103231,chr6:30913887-30913888 - 2bp, 1CpGs: 9648968-9648969
cg26860970,chr6:30913881-30913882 - 2bp, 1CpGs: 9648967-9648968
cg16555181,chr6:30913866-30913867 - 2bp, 1CpGs: 9648964-9648965
cg02186769,chr6:30913868-30913869 - 2bp, 1CpGs: 9648965-9648966
cg03666441,chr17:7351352-7351353 - 2bp, 1CpGs: 23017816-23017817
cg13152952,chr8:41713036-41713037 - 2bp, 1CpGs: 12896169-12896170
cg13437525,chr12:50924704-50924705 - 2bp, 1CpGs: 18249794-18249795
cg02501827,chr11:11841332-11841333 - 2bp, 1CpGs: 16593796-16593797
cg12492653,chr11:11841320-11841321 - 2bp, 1CpGs: 16593795-16593796
cg05795313,chr12:48351353-48351354 - 2bp, 1CpGs: 18212964-18212965
cg21272996,chr11:57761783-57761784 - 2bp, 1CpGs: 16970272-16970273
cg25728685,chr6:28383371-28383372 - 2bp, 1CpGs: 9617148-9617149
cg27424995,chr1:27576044-27576045 - 2bp, 1CpGs: 482734-482735
cg22707529,chr6:143678578-143678579 - 2bp, 1CpGs: 10519764-10519765
cg20865323,chr6:143678529-143678530 - 2bp, 1CpGs: 10519763-10519764
cg22306344,chr3:49929340-49929341 - 2bp, 1CpGs: 5017901-5017902
cg11153400,chr22:46053618-46053619 - 2bp, 1CpGs: 27748609-27748610
cg26394940,chr22:46053581-46053582 - 2bp, 1CpGs: 27748606-27748607
cg10421247,chr12:120086849-120086850 - 2bp, 1CpGs: 18854554-18854555
cg25737313,chr19:12788743-12788744 - 2bp, 1CpGs: 25201712-25201713
cg16704678,chr1:31764576-31764577 - 2bp, 1CpGs: 540257-540258
cg17329494,chr5:65723134-65723135 - 2bp, 1CpGs: 8322652-8322653
cg25104621,chr11:1548582-1548583 - 2bp, 1CpGs: 16473644-16473645
cg10837858,chr11:1548553-1548554 - 2bp, 1CpGs: 16473642-16473643
cg23600866,chr15:99250904-99250905 - 2bp, 1CpGs: 21683798-21683799
cg04850765,chr15:66843141-66843142 - 2bp, 1CpGs: 21327954-21327955
cg11911122,chr8:70404534-70404535 - 2bp, 1CpGs: 13152680-13152681
cg25150243,chr15:50181962-50181963 - 2bp, 1CpGs: 21159429-21159430
cg25417405,chr15:50181932-50181933 - 2bp, 1CpGs: 21159428-21159429
cg10040748,chr1:211258225-211258226 - 2bp, 1CpGs: 1990565-1990566
cg19725489,chr5:72956968-72956969 - 2bp, 1CpGs: 8386034-8386035
cg21863949,chr21:41778271-41778272 - 2bp, 1CpGs: 27107522-27107523
cg08388111,chr10:72273062-72273063 - 2bp, 1CpGs: 15762439-15762440
cg14222879,chr8:70404461-70404462 - 2bp, 1CpGs: 13152673-13152674
cg14247332,chr9:130043700-130043701 - 2bp, 1CpGs: 14843462-14843463
cg09878888,chr11:57762142-57762143 - 2bp, 1CpGs: 16970280-16970281
cg15846482,chr11:18589010-18589011 - 2bp, 1CpGs: 16651833-16651834
cg27653384,chr22:21938746-21938747 - 2bp, 1CpGs: 27379325-27379326
cg25011475,chr10:86757851-86757852 - 2bp, 1CpGs: 15895505-15895506
cg12917475,chr14:23306578-23306579 - 2bp, 1CpGs: 20005969-20005970
cg05877109,chr14:23306585-23306586 - 2bp, 1CpGs: 20005970-20005971
cg25149155,chr14:23306568-23306569 - 2bp, 1CpGs: 20005968-20005969
cg04542489,chr14:23306537-23306538 - 2bp, 1CpGs: 20005967-20005968
cg13687825,chr8:100213116-100213117 - 2bp, 1CpGs: 13362640-13362641
cg09226051,chr1:247448200-247448201 - 2bp, 1CpGs: 2361488-2361489
cg03717364,chr2:42975341-42975342 - 2bp, 1CpGs: 2817368-2817369
cg04011671,chr2:42975334-42975335 - 2bp, 1CpGs: 2817367-2817368
cg01564818,chr3:9422752-9422753 - 2bp, 1CpGs: 4640859-4640860
cg01870865,chr3:48465688-48465689 - 2bp, 1CpGs: 4991675-4991676
cg26654286,chr17:40309258-40309259 - 2bp, 1CpGs: 23483289-23483290
cg00236832,chr17:40309237-40309238 - 2bp, 1CpGs: 23483288-23483289
cg19276111,chr1:23902742-23902743 - 2bp, 1CpGs: 423238-423239
cg11183072,chr17:39738144-39738145 - 2bp, 1CpGs: 23473762-23473763
cg13761998,chr17:39738150-39738151 - 2bp, 1CpGs: 23473763-23473764
cg17740645,chr17:39738160-39738161 - 2bp, 1CpGs: 23473764-23473765
cg16015423,chr19:15107163-15107164 - 2bp, 1CpGs: 25249349-25249350
cg17765751,chr19:15107182-15107183 - 2bp, 1CpGs: 25249351-25249352
cg23161218,chr17:7558321-7558322 - 2bp, 1CpGs: 23022997-23022998
cg15995296,chr11:67443341-67443342 - 2bp, 1CpGs: 17121563-17121564
cg19903071,chr2:159616740-159616741 - 2bp, 1CpGs: 3829580-3829581
cg13461447,chr1:1782562-1782563 - 2bp, 1CpGs: 44844-44845
cg06528063,chr17:8629441-8629442 - 2bp, 1CpGs: 23045065-23045066
cg04545296,chr12:48351460-48351461 - 2bp, 1CpGs: 18212966-18212967
cg26404511,chr1:23903085-23903086 - 2bp, 1CpGs: 423287-423288
cg01607849,chr12:6866965-6866966 - 2bp, 1CpGs: 17857701-17857702
cg15784646,chr4:158786541-158786542 - 2bp, 1CpGs: 7477312-7477313
cg17525495,chr17:58324373-58324374 - 2bp, 1CpGs: 23714534-23714535
cg04347477,chr12:124517461-124517462 - 2bp, 1CpGs: 18938793-18938794
cg04406436,chr1:38476641-38476642 - 2bp, 1CpGs: 626498-626499
cg05041073,chr17:39618640-39618641 - 2bp, 1CpGs: 23471390-23471391
cg21936280,chr17:39618681-39618682 - 2bp, 1CpGs: 23471396-23471397
cg08360820,chr10:11610641-11610642 - 2bp, 1CpGs: 15180315-15180316
cg02573357,chr1:203769671-203769672 - 2bp, 1CpGs: 1916299-1916300
cg18108087,chr1:59296440-59296441 - 2bp, 1CpGs: 847402-847403
cg06074992,chr16:71564650-71564651 - 2bp, 1CpGs: 22579676-22579677
cg18213545,chr11:57761928-57761929 - 2bp, 1CpGs: 16970273-16970274
cg10831212,chr11:57761947-57761948 - 2bp, 1CpGs: 16970274-16970275
cg04313875,chr17:1649908-1649909 - 2bp, 1CpGs: 22912358-22912359
cg16256390,chr14:99245999-99246000 - 2bp, 1CpGs: 20669118-20669119
cg27043010,chr14:99246043-99246044 - 2bp, 1CpGs: 20669121-20669122
cg01447281,chr1:8422629-8422630 - 2bp, 1CpGs: 180922-180923
cg08635931,chr11:10859088-10859089 - 2bp, 1CpGs: 16585735-16585736
cg15473346,chr1:165829183-165829184 - 2bp, 1CpGs: 1628316-1628317
cg06121450,chr1:165829145-165829146 - 2bp, 1CpGs: 1628314-1628315
cg09284949,chr19:50686922-50686923 - 2bp, 1CpGs: 25840859-25840860
cg15770702,chr17:45307479-45307480 - 2bp, 1CpGs: 23568792-23568793
cg13279811,chr3:24683874-24683875 - 2bp, 1CpGs: 4787934-4787935
cg15085899,chr12:124518518-124518519 - 2bp, 1CpGs: 18938856-18938857
cg08462306,chr1:44807873-44807874 - 2bp, 1CpGs: 707150-707151
cg24254387,chr1:44807823-44807824 - 2bp, 1CpGs: 707147-707148
cg12043428,chr2:38665816-38665817 - 2bp, 1CpGs: 2779316-2779317
cg03666441,chr17:7351352-7351353 - 2bp, 1CpGs: 23017816-23017817
cg01088404,chr12:47820740-47820741 - 2bp, 1CpGs: 18206802-18206803
cg21570709,chr1:150619999-150620000 - 2bp, 1CpGs: 1463215-1463216
cg16898124,chr3:126476540-126476541 - 2bp, 1CpGs: 5626709-5626710
cg07392085,chr5:142110108-142110109 - 2bp, 1CpGs: 8912448-8912449
cg23643435,chr2:38666109-38666110 - 2bp, 1CpGs: 2779323-2779324
cg05604112,chr2:38666095-38666096 - 2bp, 1CpGs: 2779322-2779323
cg26635214,chr16:30985162-30985163 - 2bp, 1CpGs: 22210389-22210390
cg02256631,chr16:31331631-31331632 - 2bp, 1CpGs: 22217743-22217744
cg12717729,chr1:23744763-23744764 - 2bp, 1CpGs: 420537-420538
cg19725489,chr5:72956968-72956969 - 2bp, 1CpGs: 8386034-8386035
cg00738869,chr3:138833806-138833807 - 2bp, 1CpGs: 5748627-5748628
cg12446199,chr1:167439604-167439605 - 2bp, 1CpGs: 1640771-1640772
cg16411883,chr5:107542652-107542653 - 2bp, 1CpGs: 8625526-8625527
cg18660064,chr1:23178139-23178140 - 2bp, 1CpGs: 411514-411515
cg19286686,chr2:157875187-157875188 - 2bp, 1CpGs: 3814992-3814993
cg23967461,chr2:157875224-157875225 - 2bp, 1CpGs: 3814993-3814994
cg08447324,chr19:50667559-50667560 - 2bp, 1CpGs: 25840334-25840335
cg25737313,chr19:12788743-12788744 - 2bp, 1CpGs: 25201712-25201713
cg01870865,chr3:48465688-48465689 - 2bp, 1CpGs: 4991675-4991676
cg05406868,chr7:5427735-5427736 - 2bp, 1CpGs: 10953343-10953344
cg01014262,chr16:48500019-48500020 - 2bp, 1CpGs: 22334855-22334856
cg22961457,chr20:63738957-63738958 - 2bp, 1CpGs: 26739258-26739259
cg17525495,chr17:58324373-58324374 - 2bp, 1CpGs: 23714534-23714535
cg00066663,chr17:7889356-7889357 - 2bp, 1CpGs: 23030630-23030631
cg01664727,chr21:34886126-34886127 - 2bp, 1CpGs: 27027537-27027538
cg09802389,chr4:121696152-121696153 - 2bp, 1CpGs: 7221083-7221084
cg13357602,chr6:30687943-30687944 - 2bp, 1CpGs: 9645373-9645374
cg01018002,chr1:28517967-28517968 - 2bp, 1CpGs: 496925-496926
cg24691069,chr6:37354997-37354998 - 2bp, 1CpGs: 9744242-9744243
cg22501342,chr6:37354953-37354954 - 2bp, 1CpGs: 9744239-9744240
cg21161394,chr1:167439472-167439473 - 2bp, 1CpGs: 1640765-1640766
cg02648847,chr1:167439498-167439499 - 2bp, 1CpGs: 1640768-1640769
cg02676175,chr17:7350401-7350402 - 2bp, 1CpGs: 23017758-23017759
cg23829102,chr4:123555539-123555540 - 2bp, 1CpGs: 7235500-7235501
cg13315450,chr2:219249567-219249568 - 2bp, 1CpGs: 4283786-4283787
cg03484180,chr3:49930084-49930085 - 2bp, 1CpGs: 5017950-5017951
cg13072940,chr3:49930088-49930089 - 2bp, 1CpGs: 5017951-5017952
cg05047486,chr17:40121350-40121351 - 2bp, 1CpGs: 23479932-23479933
cg06126721,chr17:1574771-1574772 - 2bp, 1CpGs: 22909934-22909935
cg23728447,chr10:124740698-124740699 - 2bp, 1CpGs: 16276202-16276203
cg20381404,chr5:34008110-34008111 - 2bp, 1CpGs: 8060866-8060867
cg08462306,chr1:44807873-44807874 - 2bp, 1CpGs: 707150-707151
cg24254387,chr1:44807823-44807824 - 2bp, 1CpGs: 707147-707148
cg22897141,chr11:64809866-64809867 - 2bp, 1CpGs: 17064670-17064671
cg09915396,chr17:3004601-3004602 - 2bp, 1CpGs: 22942859-22942860
cg02076355,chr10:44978924-44978925 - 2bp, 1CpGs: 15536355-15536356
cg18584387,chr12:4275713-4275714 - 2bp, 1CpGs: 17822969-17822970
cg07066369,chr12:4275722-4275723 - 2bp, 1CpGs: 17822970-17822971
cg17580045,chr12:4275724-4275725 - 2bp, 1CpGs: 17822971-17822972
cg24070123,chr6:34697379-34697380 - 2bp, 1CpGs: 9707779-9707780
cg23125506,chr15:40906336-40906337 - 2bp, 1CpGs: 21069328-21069329
cg11930955,chr12:113222240-113222241 - 2bp, 1CpGs: 18775187-18775188
cg10911160,chr5:119356099-119356100 - 2bp, 1CpGs: 8705918-8705919
cg23917399,chr5:119356056-119356057 - 2bp, 1CpGs: 8705916-8705917
cg05783185,chr8:118109042-118109043 - 2bp, 1CpGs: 13484627-13484628
cg11639950,chr12:124518861-124518862 - 2bp, 1CpGs: 18938877-18938878
cg17187521,chr12:124518833-124518834 - 2bp, 1CpGs: 18938875-18938876
cg21161394,chr1:167439472-167439473 - 2bp, 1CpGs: 1640765-1640766
cg02648847,chr1:167439498-167439499 - 2bp, 1CpGs: 1640768-1640769
cg13909895,chr22:50627714-50627715 - 2bp, 1CpGs: 27848767-27848768
cg26604214,chr17:3004384-3004385 - 2bp, 1CpGs: 22942848-22942849
cg18584387,chr12:4275713-4275714 - 2bp, 1CpGs: 17822969-17822970
cg07066369,chr12:4275722-4275723 - 2bp, 1CpGs: 17822970-17822971
cg17580045,chr12:4275724-4275725 - 2bp, 1CpGs: 17822971-17822972
cg23051299,chr2:75711163-75711164 - 2bp, 1CpGs: 3108777-3108778
cg20704342,chr2:75711147-75711148 - 2bp, 1CpGs: 3108776-3108777
cg26476925,chr19:44742189-44742190 - 2bp, 1CpGs: 25704229-25704230
cg24011261,chr3:49358793-49358794 - 2bp, 1CpGs: 5008104-5008105
cg05551922,chr3:49358799-49358800 - 2bp, 1CpGs: 5008105-5008106
cg05055782,chr3:49358760-49358761 - 2bp, 1CpGs: 5008102-5008103
cg03214730,chr16:73047659-73047660 - 2bp, 1CpGs: 22596780-22596781
cg07346187,chr6:149454485-149454486 - 2bp, 1CpGs: 10564946-10564947
cg22001211,chr2:61539397-61539398 - 2bp, 1CpGs: 2971501-2971502
cg20518511,chr7:5419270-5419271 - 2bp, 1CpGs: 10952697-10952698
cg09033131,chr11:118264379-118264380 - 2bp, 1CpGs: 17570448-17570449
cg16594165,chr11:118264390-118264391 - 2bp, 1CpGs: 17570449-17570450
cg01607849,chr12:6866965-6866966 - 2bp, 1CpGs: 17857701-17857702
cg22249612,chr12:55727701-55727702 - 2bp, 1CpGs: 18310922-18310923
cg21869046,chr19:40719100-40719101 - 2bp, 1CpGs: 25647896-25647897
cg12150039,chr19:34999628-34999629 - 2bp, 1CpGs: 25540589-25540590
cg22045942,chr19:34999657-34999658 - 2bp, 1CpGs: 25540591-25540592
cg22820108,chr12:124518672-124518673 - 2bp, 1CpGs: 18938864-18938865
cg04173586,chr19:2167497-2167498 - 2bp, 1CpGs: 24954824-24954825
cg26971042,chr15:70094878-70094879 - 2bp, 1CpGs: 21363839-21363840
cg09046309,chr20:47318482-47318483 - 2bp, 1CpGs: 26488949-26488950
cg10421247,chr12:120086849-120086850 - 2bp, 1CpGs: 18854554-18854555
cg13073224,chr12:116693718-116693719 - 2bp, 1CpGs: 18814723-18814724
cg16684607,chr16:57863813-57863814 - 2bp, 1CpGs: 22434281-22434282
cg01098178,chr16:57863783-57863784 - 2bp, 1CpGs: 22434279-22434280
cg08092930,chr11:70271608-70271609 - 2bp, 1CpGs: 17175886-17175887
cg27388962,chr10:4663242-4663243 - 2bp, 1CpGs: 15106881-15106882
cg07905673,chr3:42654088-42654089 - 2bp, 1CpGs: 4925947-4925948
cg12273325,chr22:31293845-31293846 - 2bp, 1CpGs: 27505853-27505854
cg10708955,chr17:8153632-8153633 - 2bp, 1CpGs: 23036328-23036329
cg04658021,chr17:8153649-8153650 - 2bp, 1CpGs: 23036329-23036330
cg13759852,chr17:8153667-8153668 - 2bp, 1CpGs: 23036330-23036331
cg02705163,chr6:138572536-138572537 - 2bp, 1CpGs: 10482577-10482578
cg04850961,chr6:138572550-138572551 - 2bp, 1CpGs: 10482579-10482580
cg01615880,chr6:138572540-138572541 - 2bp, 1CpGs: 10482578-10482579
cg06881310,chr6:138572581-138572582 - 2bp, 1CpGs: 10482582-10482583
cg25989075,chr6:138572575-138572576 - 2bp, 1CpGs: 10482581-10482582
cg03417473,chr1:112673760-112673761 - 2bp, 1CpGs: 1230286-1230287
cg06653052,chr19:1275168-1275169 - 2bp, 1CpGs: 24920829-24920830
cg01924434,chr19:1275122-1275123 - 2bp, 1CpGs: 24920823-24920824
cg20730253,chr5:119356002-119356003 - 2bp, 1CpGs: 8705909-8705910
cg23243080,chr5:119355999-119356000 - 2bp, 1CpGs: 8705908-8705909
cg06528575,chr1:206909483-206909484 - 2bp, 1CpGs: 1954464-1954465
cg04231677,chr1:184838870-184838871 - 2bp, 1CpGs: 1780459-1780460
cg01564818,chr3:9422752-9422753 - 2bp, 1CpGs: 4640859-4640860
cg26337070,chr2:85772750-85772751 - 2bp, 1CpGs: 3178315-3178316
cg00135056,chr3:129278452-129278453 - 2bp, 1CpGs: 5666440-5666441
cg21822187,chr12:65892361-65892362 - 2bp, 1CpGs: 18400101-18400102
cg23643435,chr2:38666109-38666110 - 2bp, 1CpGs: 2779323-2779324
cg05604112,chr2:38666095-38666096 - 2bp, 1CpGs: 2779322-2779323
cg13298116,chr11:62602387-62602388 - 2bp, 1CpGs: 17025214-17025215
cg11742103,chr11:62602398-62602399 - 2bp, 1CpGs: 17025215-17025216
cg12065777,chr17:16408524-16408525 - 2bp, 1CpGs: 23136498-23136499
cg25554283,chr17:65562141-65562142 - 2bp, 1CpGs: 23805488-23805489
cg02366988,chr17:65562127-65562128 - 2bp, 1CpGs: 23805487-23805488
cg12034678,chr1:41516356-41516357 - 2bp, 1CpGs: 666304-666305
cg08360820,chr10:11610641-11610642 - 2bp, 1CpGs: 15180315-15180316
cg05041073,chr17:39618640-39618641 - 2bp, 1CpGs: 23471390-23471391
cg21936280,chr17:39618681-39618682 - 2bp, 1CpGs: 23471396-23471397
cg02971575,chr4:145481388-145481389 - 2bp, 1CpGs: 7378927-7378928
cg22306344,chr3:49929340-49929341 - 2bp, 1CpGs: 5017901-5017902
cg13904970,chr5:124651974-124651975 - 2bp, 1CpGs: 8739730-8739731
cg22620363,chr10:79067037-79067038 - 2bp, 1CpGs: 15830734-15830735
cg13469590,chr9:19229769-19229770 - 2bp, 1CpGs: 13934275-13934276
cg20243351,chr17:49193794-49193795 - 2bp, 1CpGs: 23624868-23624869
cg05768702,chr17:49193771-49193772 - 2bp, 1CpGs: 23624865-23624866
cg13607248,chr3:184156768-184156769 - 2bp, 1CpGs: 6077875-6077876
cg14247332,chr9:130043700-130043701 - 2bp, 1CpGs: 14843462-14843463
cg16208357,chr17:42780502-42780503 - 2bp, 1CpGs: 23520459-23520460
cg24104567,chr17:42780490-42780491 - 2bp, 1CpGs: 23520457-23520458
cg02763536,chr17:42780497-42780498 - 2bp, 1CpGs: 23520458-23520459
cg24235581,chr12:57896669-57896670 - 2bp, 1CpGs: 18345438-18345439
cg25104621,chr11:1548582-1548583 - 2bp, 1CpGs: 16473644-16473645
cg10837858,chr11:1548553-1548554 - 2bp, 1CpGs: 16473642-16473643
cg12894649,chr20:11890748-11890749 - 2bp, 1CpGs: 26099144-26099145
cg23944804,chr20:11890736-11890737 - 2bp, 1CpGs: 26099143-26099144
cg14603345,chr20:11890727-11890728 - 2bp, 1CpGs: 26099142-26099143
cg15085899,chr12:124518518-124518519 - 2bp, 1CpGs: 18938856-18938857
cg27424995,chr1:27576044-27576045 - 2bp, 1CpGs: 482734-482735
cg19811761,chr19:56507653-56507654 - 2bp, 1CpGs: 25947420-25947421
cg00674365,chr19:56507700-56507701 - 2bp, 1CpGs: 25947425-25947426
cg11411904,chr1:153963243-153963244 - 2bp, 1CpGs: 1501996-1501997
cg21344746,chr10:79071473-79071474 - 2bp, 1CpGs: 15831113-15831114
cg13357602,chr6:30687943-30687944 - 2bp, 1CpGs: 9645373-9645374
cg06065225,chr11:65872666-65872667 - 2bp, 1CpGs: 17089082-17089083
cg17598713,chr6:33297757-33297758 - 2bp, 1CpGs: 9683957-9683958
cg03384992,chr18:24272361-24272362 - 2bp, 1CpGs: 24395909-24395910
cg06593258,chr18:24272369-24272370 - 2bp, 1CpGs: 24395911-24395912
cg26398656,chr18:24272363-24272364 - 2bp, 1CpGs: 24395910-24395911
cg09033131,chr11:118264379-118264380 - 2bp, 1CpGs: 17570448-17570449
cg16594165,chr11:118264390-118264391 - 2bp, 1CpGs: 17570449-17570450
cg25728685,chr6:28383371-28383372 - 2bp, 1CpGs: 9617148-9617149
cg24152605,chr19:56538990-56538991 - 2bp, 1CpGs: 25947745-25947746
cg21970554,chr19:56539001-56539002 - 2bp, 1CpGs: 25947747-25947748
cg22054362,chr19:56538998-56538999 - 2bp, 1CpGs: 25947746-25947747
cg12349858,chr3:161104757-161104758 - 2bp, 1CpGs: 5910368-5910369
cg16208357,chr17:42780502-42780503 - 2bp, 1CpGs: 23520459-23520460
cg24104567,chr17:42780490-42780491 - 2bp, 1CpGs: 23520457-23520458
cg02763536,chr17:42780497-42780498 - 2bp, 1CpGs: 23520458-23520459
cg02003159,chr12:107317837-107317838 - 2bp, 1CpGs: 18696912-18696913
cg24124443,chr12:107317871-107317872 - 2bp, 1CpGs: 18696915-18696916
cg05022378,chr19:12495953-12495954 - 2bp, 1CpGs: 25194719-25194720
cg08894153,chr19:12495915-12495916 - 2bp, 1CpGs: 25194718-25194719
cg14873488,chr14:39266421-39266422 - 2bp, 1CpGs: 20134325-20134326
cg02447380,chr1:28592788-28592789 - 2bp, 1CpGs: 498733-498734
cg08092930,chr11:70271608-70271609 - 2bp, 1CpGs: 17175886-17175887
cg05412028,chr13:95300683-95300684 - 2bp, 1CpGs: 19698560-19698561
cg26685941,chr13:95300648-95300649 - 2bp, 1CpGs: 19698557-19698558
cg25365958,chr13:42041855-42041856 - 2bp, 1CpGs: 19342162-19342163
cg19358877,chr19:56507910-56507911 - 2bp, 1CpGs: 25947444-25947445
cg08640252,chr16:1770948-1770949 - 2bp, 1CpGs: 21784856-21784857
cg18213545,chr11:57761928-57761929 - 2bp, 1CpGs: 16970273-16970274
cg10831212,chr11:57761947-57761948 - 2bp, 1CpGs: 16970274-16970275
cg19210276,chr11:57761993-57761994 - 2bp, 1CpGs: 16970275-16970276
cg03287340,chr19:50147938-50147939 - 2bp, 1CpGs: 25828079-25828080
cg06923988,chr12:111597481-111597482 - 2bp, 1CpGs: 18753949-18753950
cg15050390,chr11:111977260-111977261 - 2bp, 1CpGs: 17506207-17506208
cg15416179,chr17:21286547-21286548 - 2bp, 1CpGs: 23214309-23214310
cg17062279,chr17:3755211-3755212 - 2bp, 1CpGs: 22954348-22954349
cg24152605,chr19:56538990-56538991 - 2bp, 1CpGs: 25947745-25947746
cg21970554,chr19:56539001-56539002 - 2bp, 1CpGs: 25947747-25947748
cg22054362,chr19:56538998-56538999 - 2bp, 1CpGs: 25947746-25947747
cg17772171,chr6:144287042-144287043 - 2bp, 1CpGs: 10525581-10525582
cg02305850,chr11:126282567-126282568 - 2bp, 1CpGs: 17664114-17664115
cg02973469,chr11:126282586-126282587 - 2bp, 1CpGs: 17664117-17664118
cg16898124,chr3:126476540-126476541 - 2bp, 1CpGs: 5626709-5626710
cg20645074,chr12:48788696-48788697 - 2bp, 1CpGs: 18217368-18217369
cg15846482,chr11:18589010-18589011 - 2bp, 1CpGs: 16651833-16651834
cg19927257,chr1:155325151-155325152 - 2bp, 1CpGs: 1525330-1525331
cg14210872,chr1:155325144-155325145 - 2bp, 1CpGs: 1525329-1525330
cg10903451,chr2:163736341-163736342 - 2bp, 1CpGs: 3856529-3856530
cg00490655,chr2:163736344-163736345 - 2bp, 1CpGs: 3856530-3856531
cg06003296,chr12:70609901-70609902 - 2bp, 1CpGs: 18437897-18437898
cg12426092,chr15:31397367-31397368 - 2bp, 1CpGs: 20979905-20979906
cg05058167,chr17:39739171-39739172 - 2bp, 1CpGs: 23473804-23473805
